Unnamed: 0,domestic_gross,production_budget,worldwide_gross,title_year,aspect_ratio,duration,cast_total_facebook_likes,budget,imdb_score,opening_gross,screens
46,125322469,200000000,365491792,2009.0,2.35,118.0,27468,200000000.0,6.6,42558390.0,3530.0
47,116601172,200000000,231201172,2011.0,2.35,123.0,17657,200000000.0,5.6,53174303.0,3816.0
48,90759676,200000000,314594597,2010.0,2.35,116.0,16149,200000000.0,6.6,37813075.0,3646.0
49,352390543,195000000,1123790543,2011.0,2.35,154.0,2593,195000000.0,6.3,97400000.0,4013.0
50,65187603,195000000,197687603,2013.0,2.35,114.0,1766,195000000.0,6.3,27202226.0,3525.0
51,351032910,190000000,1514019071,2015.0,2.35,140.0,79150,190000000.0,7.2,147187040.0,4004.0
52,228778661,190000000,467381584,2013.0,2.35,132.0,21411,190000000.0,7.8,70165559.0,3868.0
53,202359711,190000000,531514650,2013.0,2.35,123.0,32392,190000000.0,7.0,66411834.0,3607.0
55,137855863,190000000,315709697,2009.0,2.35,96.0,48878,200000000.0,6.8,30051075.0,3683.0
56,101802906,190000000,411002906,2013.0,1.85,131.0,19166,190000000.0,7.0,37285325.0,3275.0
58,318604126,186000000,582443126,2008.0,2.35,126.0,39252,140000000.0,7.9,98618668.0,4105.0
59,533345358,185000000,1002891358,2008.0,2.35,152.0,57802,185000000.0,9.0,158411483.0,4366.0
60,317023851,185000000,786558145,2008.0,2.35,122.0,14959,185000000.0,6.2,126917373.0,4260.0
61,237282182,185000000,554606532,2012.0,2.35,93.0,5005,185000000.0,7.2,66323594.0,4164.0
62,130468626,185000000,196968626,2016.0,2.35,122.0,1327,185000000.0,7.5,59253211.0,3928.0
65,223808164,180000000,532590994,2008.0,2.35,98.0,2975,180000000.0,8.4,63087526.0,3992.0
68,73864507,180000000,180047784,2011.0,1.85,126.0,36017,170000000.0,7.5,11364505.0,1277.0
70,47482519,179000000,181982519,2015.0,2.35,127.0,47334,176000000.0,5.4,18372372.0,3181.0
71,155442489,178000000,530842489,2016.0,2.35,144.0,49684,178000000.0,7.3,65000000.0,4150.0
72,100206256,178000000,364406256,2014.0,2.35,113.0,12652,178000000.0,7.9,28760246.0,3490.0
74,356461711,175000000,853923085,2015.0,1.85,95.0,2944,175000000.0,8.3,90440272.0,3946.0
75,293004164,175000000,731542621,2009.0,1.85,96.0,2635,175000000.0,8.3,68108790.0,3.0
76,198351526,175000000,381687380,2009.0,2.35,94.0,2579,175000000.0,6.5,59321095.0,4104.0
78,150201498,175000000,302469017,2009.0,2.35,118.0,26683,175000000.0,5.8,54713046.0,4007.0
79,113805681,175000000,221229335,1999.0,1.85,106.0,15870,170000000.0,4.8,49705055.0,3342.0
80,102491776,175000000,405760225,2008.0,2.35,112.0,9131,145000000.0,5.2,40457770.0,3760.0
81,100289690,175000000,174131329,2007.0,2.35,96.0,108016,175000000.0,5.4,31192615.0,3604.0
83,38362475,175000000,151659062,2013.0,2.35,128.0,20965,175000000.0,6.3,9869000.0,2689.0
85,333172112,170000000,771172112,2014.0,2.35,121.0,32438,170000000.0,8.1,94320883.0,4080.0
86,312433331,170000000,623561331,2010.0,2.35,124.0,48638,200000000.0,7.0,128122480.0,4380.0
87,259746958,170000000,714401889,2014.0,2.35,136.0,36188,170000000.0,7.8,95023721.0,3938.0
88,208545589,170000000,703545589,2014.0,1.85,130.0,14363,170000000.0,7.6,72611427.0,3967.0
89,194949659,170000000,319090241,2004.0,2.35,100.0,16264,165000000.0,6.6,40428.0,11.0
90,155136755,170000000,401016924,2012.0,2.35,132.0,72881,170000000.0,6.1,56217700.0,3773.0
91,150358296,170000000,433058296,2003.0,2.35,109.0,1769,200000000.0,6.4,44041440.0,3504.0
94,76879693,170000000,277279693,2016.0,1.85,113.0,80806,170000000.0,6.4,28112000.0,3763.0
95,238736787,165000000,756244673,2010.0,2.35,93.0,4628,165000000.0,6.4,70838207.0,4359.0
96,222527828,165000000,652127828,2014.0,2.39,102.0,2963,165000000.0,7.9,56215889.0,3761.0
97,217581231,165000000,494870991,2010.0,2.35,98.0,20453,165000000.0,8.2,43732319.0,4055.0
98,189412677,165000000,496511521,2012.0,2.35,101.0,4451,165000000.0,7.8,49038712.0,3752.0
99,188017894,165000000,665417894,2014.0,2.35,169.0,31488,165000000.0,8.6,47510360.0,3561.0
100,102362220,165000000,379262220,2016.0,2.35,120.0,3233,165000000.0,5.5,41039944.0,4068.0
102,322719944,160000000,807330936,2007.0,1.85,93.0,4705,160000000.0,6.1,121629270.0,4122.0
104,281723902,160000000,650523427,2015.0,2.35,137.0,81385,160000000.0,6.6,102665981.0,4175.0
107,146408305,160000000,355408305,2011.0,2.35,132.0,50983,160000000.0,7.8,55101604.0,3641.0
108,127509326,160000000,329809326,2008.0,2.35,166.0,13333,150000000.0,7.8,26853816.0,2988.0
109,63150991,160000000,217986320,2010.0,2.35,109.0,13388,150000000.0,6.1,17619622.0,3504.0
110,60674817,160000000,181674817,2006.0,2.35,98.0,92456,160000000.0,5.6,22155410.0,3555.0
111,47225655,160000000,433125655,2016.0,2.35,123.0,5505,160000000.0,7.3,24166110.0,3400.0
112,104386950,155000000,418186950,2010.0,1.78,113.0,764,155000000.0,6.3,24005069.0,3555.0
113,89760956,155000000,440160956,2015.0,2.35,126.0,38873,155000000.0,6.6,27018486.0,3758.0
114,34297191,155000000,167297191,2004.0,2.35,206.0,24598,155000000.0,5.5,13687087.0,2445.0
115,198539855,151500000,449239855,2001.0,2.35,184.0,5401,140000000.0,6.1,75177654.0,3214.0
117,400738009,150000000,1274234980,2013.0,2.24,102.0,2582,150000000.0,7.6,67391326.0,3742.0
118,292004738,150000000,942943935,2007.0,2.35,138.0,33433,150000000.0,7.5,77108414.0,4.0
119,290013036,150000000,896911078,2005.0,2.35,157.0,53413,150000000.0,7.6,102335066.0,3858.0
120,281553689,150000000,738576929,2003.0,2.35,138.0,534,150000000.0,7.2,91774413.0,3603.0
121,256393010,150000000,585532684,2007.0,2.35,104.0,13076,150000000.0,7.2,77211321.0,3606.0
122,227946274,150000000,624234272,2008.0,2.35,102.0,21584,150000000.0,6.4,62603879.0,3965.0
124,206445654,150000000,626549695,2007.0,2.35,111.0,4764,150000000.0,8.0,47027395.0,3940.0
125,206360018,150000000,644600394,2013.0,2.35,112.0,59803,170000000.0,7.1,85737841.0,3841.0
126,205343774,150000000,359142722,2005.0,2.35,128.0,59558,150000000.0,8.3,48745440.0,3858.0
127,195042377,150000000,700868363,2015.0,2.35,131.0,21840,150000000.0,7.4,55520089.0,3956.0
128,181030624,150000000,449326618,2011.0,2.35,115.0,60059,150000000.0,7.0,65723338.0,3955.0
129,180010950,150000000,599516844,2008.0,1.85,89.0,3285,150000000.0,6.7,63106589.0,4056.0
130,179883157,150000000,374825760,2009.0,2.35,119.0,40054,150000000.0,6.7,85058003.0,4099.0
131,177243721,150000000,402231063,2009.0,2.35,105.0,54039,150000000.0,5.9,70052004.0,4096.0
132,165249063,150000000,664837547,2011.0,2.35,90.0,21015,150000000.0,7.3,47835000.0,3925.0
133,153636354,150000000,373136354,2015.0,2.35,120.0,40025,150000000.0,8.1,45428128.0,3702.0
134,139259759,150000000,427289109,2003.0,2.35,129.0,1062,150000000.0,6.7,48475154.0,3502.0
135,133501348,150000000,397501348,2006.0,2.35,124.0,34817,150000000.0,6.9,47743273.0,4054.0
136,133375846,150000000,490875846,2009.0,2.35,146.0,16948,150000000.0,6.7,46204168.0,3527.0
138,131772187,150000000,319713881,2010.0,2.35,103.0,2857,150000000.0,4.2,51804232.0,3169.0
139,126631277,150000000,287594577,2007.0,1.85,91.0,6576,150000000.0,6.2,38021044.0,3928.0
140,119436770,150000000,292817841,2009.0,2.35,88.0,2217,150000000.0,5.1,31706934.0,3697.0
143,82195215,150000000,194995215,2007.0,2.35,115.0,31523,150000000.0,6.3,27515871.0,3153.0
144,79727149,150000000,238202668,2012.0,1.85,113.0,80849,100000000.0,6.2,29685274.0,3755.0
145,73103784,150000000,205440387,2013.0,2.35,131.0,18204,150000000.0,6.4,24852258.0,3222.0
146,62189884,150000000,142634358,2010.0,1.85,119.0,13071,150000000.0,5.8,35555065.0,3222.0
148,21392758,150000000,39549758,2011.0,2.35,88.0,2652,150000000.0,5.4,6914488.0,3117.0
150,64665672,149000000,179357126,2006.0,1.85,85.0,35161,149000000.0,6.7,18814323.0,3707.0
151,216391482,145000000,746921271,2012.0,1.85,93.0,2444,145000000.0,6.9,60316738.0,4258.0
152,209397903,145000000,694713230,2011.0,2.35,133.0,21768,145000000.0,7.4,29556629.0,3448.0
153,177002924,145000000,616102924,2014.0,2.35,102.0,23378,145000000.0,7.9,49451322.0,4253.0
155,111506430,145000000,269806430,2014.0,1.85,92.0,5810,145000000.0,6.9,32207057.0,3934.0
156,103412758,145000000,306900902,2012.0,1.85,97.0,20645,145000000.0,7.3,23773465.0,3653.0
157,68671925,145000000,121671925,2005.0,2.35,124.0,13073,130000000.0,6.0,18068372.0,3154.0
159,160942139,142000000,431942139,2002.0,2.35,133.0,2538,142000000.0,6.1,47072040.0,3314.0
160,257730019,140000000,385680446,2009.0,2.35,127.0,39284,150000000.0,8.0,75204289.0,3849.0
161,201578182,140000000,554600000,1998.0,2.35,153.0,26029,140000000.0,6.6,36089972.0,3127.0
163,176654505,140000000,370569776,2011.0,2.35,124.0,19761,140000000.0,6.9,65058524.0,3715.0
164,143528619,140000000,518628619,2016.0,2.35,95.0,36095,145000000.0,7.2,41282042.0,3955.0
166,122523060,140000000,375740705,2013.0,2.35,122.0,31958,130000000.0,5.8,40501814.0,3719.0
167,111110575,140000000,456810575,2003.0,2.35,154.0,11945,140000000.0,7.7,24271354.0,2908.0
168,110550000,140000000,203018919,2005.0,2.35,90.0,1997,100000000.0,6.1,21530160.0,3056.0
169,65014513,140000000,268314513,2014.0,2.35,150.0,26490,140000000.0,6.1,24115934.0,3503.0
169,65014513,140000000,268314513,2014.0,2.35,150.0,26489,140000000.0,6.1,24115934.0,3503.0
170,52915678,140000000,118515678,2016.0,2.35,117.0,1950,140000000.0,6.8,19584969.0,3357.0
171,31153464,140000000,133553464,2016.0,2.35,126.0,19769,140000000.0,5.5,14123903.0,3117.0
172,403706375,139000000,821706375,2002.0,1.85,121.0,40484,139000000.0,7.3,114844116.0,3615.0
173,107509799,138000000,184068357,2009.0,2.35,215.0,2530,130000000.0,7.7,55214334.0,3611.0
174,32116746,138000000,76416746,2005.0,2.35,121.0,2705,135000000.0,5.0,13251545.0,3495.0
175,134806913,137500000,263417913,2008.0,2.35,135.0,5811,150000000.0,6.8,55414050.0,3505.0
176,132177234,137000000,245229234,2003.0,1.85,138.0,1814,137000000.0,5.7,62128420.0,3660.0
177,32131830,137000000,85131830,2001.0,1.85,106.0,15015,137000000.0,6.4,11408853.0,2649.0
179,187168425,135000000,573068425,2013.0,2.35,98.0,43286,135000000.0,7.3,43639736.0,4046.0
180,183637894,135000000,532037894,2015.0,2.35,156.0,57108,135000000.0,8.1,38000000.0,3375.0
181,126930660,135000000,361730660,1999.0,2.35,128.0,2037,135000000.0,6.4,35519007.0,3163.0
182,123257581,135000000,245504574,2011.0,2.35,107.0,43291,135000000.0,7.2,38079323.0,3917.0
183,93926386,135000000,212912137,2003.0,2.35,138.0,1205,150000000.0,7.4,25105990.0,3101.0
184,83028130,135000000,286896578,2013.0,2.35,96.0,17416,135000000.0,6.5,21312625.0,3806.0
185,81677349,135000000,237177349,2016.0,2.35,112.0,8306,135000000.0,6.3,165685.0,33.0
186,64006466,135000000,157956466,2011.0,2.35,100.0,62644,135000000.0,5.9,21237068.0,3606.0
188,234280354,132000000,606836535,2005.0,1.85,116.0,12758,132000000.0,6.5,77061953.0,3908.0
189,83350911,132000000,367650911,2014.0,1.85,92.0,19963,132000000.0,6.7,25447444.0,3764.0
190,424668047,130000000,864868047,2013.0,2.35,146.0,49355,130000000.0,7.6,161125000.0,4163.0
191,249538952,130000000,796688549,2004.0,2.35,142.0,33284,130000000.0,7.8,93687367.0,3855.0
192,227471070,130000000,442161562,2007.0,2.35,115.0,17369,110000000.0,8.1,69283690.0,3660.0
193,215434591,130000000,631910531,2008.0,2.35,92.0,12754,130000000.0,7.6,60239130.0,4114.0
194,180202163,130000000,518602163,2015.0,1.85,117.0,5730,130000000.0,7.4,57225526.0,3856.0
196,149260504,130000000,554987477,2011.0,2.35,90.0,5046,130000000.0,6.7,34077439.0,3952.0
197,148415853,130000000,321887208,2010.0,2.35,95.0,46120,130000000.0,7.3,46016833.0,3944.0
198,138540870,130000000,273271982,2003.0,2.35,147.0,12954,130000000.0,6.6,46522560.0,3186.0
199,131538435,130000000,493738435,2014.0,2.35,101.0,1031,103000000.0,6.4,39327869.0,3948.0
200,118311368,130000000,290650494,2010.0,2.35,101.0,12406,110000000.0,6.4,36011243.0,3612.0
203,60522097,130000000,251499665,2013.0,2.35,100.0,14168,130000000.0,4.9,27520040.0,3401.0
204,49554002,130000000,215080810,2008.0,2.35,165.0,921,130000000.0,6.6,14800723.0,2642.0
205,33618855,130000000,79072464,2013.0,2.35,96.0,31549,130000000.0,5.6,12691415.0,2852.0
207,137748063,127500000,356148063,2000.0,1.85,82.0,2945,127500000.0,6.5,38854851.0,3257.0
208,113746621,127000000,356546621,2014.0,1.85,98.0,53587,127000000.0,6.2,17100520.0,3785.0
210,337135885,125000000,766652288,2014.0,2.35,123.0,81385,125000000.0,6.7,121897634.0,4151.0
211,317575550,125000000,974755371,2001.0,2.35,159.0,13191,125000000.0,7.5,90294621.0,3672.0
212,305411224,125000000,634954103,2003.0,2.35,143.0,48184,140000000.0,8.1,46630690.0,3269.0
214,217536138,125000000,767820459,2006.0,2.35,174.0,16008,125000000.0,6.6,77073388.0,3735.0
216,209837675,125000000,629969804,2011.0,2.35,132.0,55345,125000000.0,7.3,86198765.0,3644.0
218,186848418,125000000,535663443,2011.0,2.35,129.0,22403,125000000.0,7.5,39637079.0,3703.0
219,186740799,125000000,556319450,2004.0,2.35,124.0,20553,125000000.0,6.4,85807341.0,3425.0
222,126477084,125000000,399005706,2012.0,2.35,124.0,24098,130000000.0,7.0,51050101.0,3396.0
223,113203870,125000000,280355920,2012.0,2.35,135.0,12175,125000000.0,6.7,38142825.0,3745.0
224,107325195,125000000,238317814,1997.0,1.85,125.0,2699,125000000.0,3.7,42872606.0,2934.0
226,32698899,125000000,61698899,1999.0,2.35,102.0,1815,85000000.0,6.6,10267756.0,2306.0
227,260044825,123000000,345141403,2000.0,1.85,110.0,4146,123000000.0,6.0,55082330.0,3127.0
229,182618434,120000000,328711434,2000.0,2.35,130.0,2684,140000000.0,6.4,41325042.0,3407.0
230,131921738,120000000,288215319,2007.0,2.35,92.0,15302,130000000.0,5.6,58051684.0,3959.0
231,124987022,120000000,607987022,2012.0,1.85,127.0,2121,120000000.0,8.0,22451514.0,2927.0
232,115802596,120000000,229545589,2007.0,2.35,123.0,14017,110000000.0,5.2,52022908.0,3619.0
233,108521835,120000000,200421835,2016.0,2.35,123.0,13752,120000000.0,7.1,60000000.0,4026.0
234,100814328,120000000,227200000,2003.0,2.35,107.0,4046,120000000.0,4.8,37634221.0,3459.0
235,93050117,120000000,286192091,2013.0,2.35,109.0,17689,115000000.0,6.6,29807393.0,3284.0
236,89107235,120000000,287916633,2013.0,2.35,124.0,22004,120000000.0,7.0,37054485.0,3783.0
237,64956806,120000000,166000000,2002.0,1.85,77.0,2682,120000000.0,5.4,15115152.0,3255.0
239,57712751,120000000,107212751,2004.0,2.35,134.0,17159,105000000.0,6.7,24289165.0,2757.0
241,43945766,120000000,93394462,2008.0,2.35,135.0,902,120000000.0,6.1,18561337.0,3606.0
243,30212620,120000000,49628177,2010.0,1.85,121.0,993,120000000.0,5.3,7484696.0,2483.0
245,76423035,117000000,258751370,2010.0,2.35,117.0,12731,117000000.0,6.3,20139985.0,3098.0
246,474544677,115000000,1027044677,1999.0,2.35,136.0,37723,115000000.0,6.5,22469932.0,2655.0
247,380270577,115000000,848998877,2005.0,2.35,140.0,44042,113000000.0,7.6,108435841.0,3661.0
248,310676740,115000000,656695615,2002.0,1.78,142.0,42990,115000000.0,6.7,80027814.0,3161.0
249,289423425,115000000,559757719,2001.0,1.85,92.0,15013,115000000.0,8.1,5040000.0,2618.0
250,132556852,115000000,416456852,2013.0,2.35,138.0,23755,120000000.0,6.7,53113752.0,3924.0
251,67163857,115000000,178200000,1997.0,2.35,108.0,1569,116000000.0,5.8,18479435.0,2657.0
252,48003015,115000000,164602163,2016.0,2.35,120.0,46719,115000000.0,6.1,19445035.0,3791.0
253,40914068,115000000,77628265,2002.0,2.35,153.0,15046,115000000.0,6.0,14520412.0,2898.0
255,42779261,112000000,232017848,2010.0,2.35,85.0,1173,112000000.0,4.9,6307691.0,2546.0
256,274092705,110000000,716392705,2013.0,2.35,91.0,87,100000000.0,7.8,55785112.0,3575.0
258,186336279,110000000,486124090,2005.0,2.35,126.0,22722,120000000.0,6.5,50342878.0,3424.0
259,155190832,110000000,469590832,2015.0,2.35,114.0,16718,110000000.0,6.1,54588173.0,3777.0
260,142614158,110000000,563749323,2011.0,1.78,103.0,692,110000000.0,5.5,35611637.0,3395.0
261,134529403,110000000,382288147,2007.0,2.35,129.0,13961,110000000.0,7.2,33369559.0,3408.0
263,125531634,110000000,362989076,2004.0,2.35,125.0,19359,110000000.0,6.4,39153380.0,3290.0
264,125304276,110000000,339504276,1997.0,2.35,119.0,2958,110000000.0,6.5,25143007.0,2807.0
265,113330342,110000000,215300000,2000.0,2.35,142.0,19454,110000000.0,7.1,22413710.0,3061.0
266,106580051,110000000,330780051,2014.0,2.35,102.0,10583,110000000.0,6.2,45038460.0,3470.0
267,102608827,110000000,208370892,2004.0,2.35,170.0,34582,110000000.0,7.5,858021.0,40.0
268,98780042,110000000,229155503,2011.0,2.35,119.0,13391,120000000.0,5.8,33526876.0,3584.0
269,85463309,110000000,263880341,2011.0,2.35,127.0,22254,110000000.0,7.1,27319677.0,3440.0
271,71017784,110000000,348547523,2013.0,1.85,105.0,914,105000000.0,5.4,17548389.0,3866.0
273,65452312,110000000,152364370,2009.0,2.35,106.0,19906,100000000.0,6.4,23373102.0,3.0
274,61737191,110000000,89737191,2013.0,2.35,114.0,12908,110000000.0,6.7,27017351.0,3407.0
275,50026353,110000000,76482461,2004.0,1.78,76.0,13607,110000000.0,5.4,13880771.0,3047.0
276,48097081,110000000,150468000,1997.0,2.35,121.0,2027,160000000.0,3.7,16158942.0,2615.0
279,315544750,109000000,887217688,2001.0,2.35,171.0,22342,93000000.0,8.8,66114741.0,3359.0
280,101018283,109000000,133818283,2003.0,1.85,82.0,2762,109000000.0,3.8,38329160.0,3464.0
281,58183966,109000000,87683966,2001.0,2.35,165.0,14196,107000000.0,6.8,10216625.0,2446.0
282,228433663,108000000,640055863,2015.0,2.35,151.0,14831,108000000.0,8.1,54308575.0,3831.0
283,144801023,105000000,348629585,2004.0,2.35,115.0,12068,120000000.0,7.1,52179887.0,3420.0
284,140015224,105000000,298815224,1999.0,1.85,84.0,3382,133000000.0,5.9,15018223.0,2878.0
285,104400899,105000000,270997378,2009.0,1.85,97.0,2480,105000000.0,7.1,786190.0,2.0
287,6712451,105000000,10364769,2001.0,1.85,104.0,3133,90000000.0,4.4,3029858.0,2222.0
288,101643008,103300000,232643008,2000.0,2.35,127.0,29069,90000000.0,6.5,25336048.0,3006.0
289,187683805,103000000,457683805,2000.0,2.35,171.0,6521,103000000.0,8.5,34819017.0,2938.0
291,97104620,102500000,212282709,2009.0,2.35,140.0,64599,100000000.0,7.0,25271675.0,3334.0
293,132024714,102000000,358824714,2002.0,2.35,145.0,12546,102000000.0,7.7,35677125.0,3001.0
294,27108272,102000000,130673154,2012.0,2.35,172.0,22686,102000000.0,7.5,9612247.0,2008.0
295,261987880,100000000,878979634,2002.0,2.35,174.0,35672,100000000.0,7.4,88357488.0,3682.0
299,173005002,100000000,331323410,2004.0,2.35,131.0,13679,100000000.0,6.9,35142554.0,3017.0
300,162805434,100000000,449948323,2012.0,2.35,165.0,40978,100000000.0,8.5,30688000.0,3010.0
301,148438600,100000000,310650574,2010.0,1.85,98.0,24082,100000000.0,5.5,30833665.0,3536.0
303,130164645,100000000,267985456,2007.0,1.85,176.0,20354,100000000.0,7.8,43565135.0,3054.0
304,124870275,100000000,236827677,2009.0,2.35,90.0,1227,100000000.0,7.0,30304648.0,3119.0
305,119219978,100000000,170936470,2010.0,2.35,116.0,20233,100000000.0,6.7,35543162.0,3651.0
307,116900694,100000000,391976723,2013.0,2.35,240.0,46057,100000000.0,8.2,18361578.0,2557.0
308,107518682,100000000,262794441,2013.0,2.35,102.0,14552,100000000.0,6.7,33531068.0,3882.0
309,101295562,100000000,234400000,1996.0,2.35,115.0,3454,100000000.0,6.1,24566446.0,2410.0
311,89296573,100000000,169296573,2000.0,1.66,78.0,2039,100000000.0,7.3,9812302.0,2801.0
312,85028192,100000000,311979256,2012.0,2.35,103.0,57881,92000000.0,6.7,28591370.0,3316.0
313,77233467,100000000,99123656,2009.0,2.35,101.0,1738,100000000.0,6.8,32695407.0,3735.0
314,75030163,100000000,249488115,2006.0,2.35,104.0,4487,100000000.0,5.1,23239907.0,3020.0
317,66889043,100000000,212026975,1999.0,2.35,121.0,3903,83000000.0,5.7,20523595.0,2593.0
318,59475623,100000000,96221971,2004.0,1.85,93.0,13748,90000000.0,5.2,21406781.0,3057.0
319,58867694,100000000,145395745,2007.0,1.85,85.0,25590,100000000.0,6.8,17640249.0,3528.0
321,55675313,100000000,139716717,2010.0,2.35,101.0,4286,80000000.0,7.0,16112211.0,3575.0
322,54768952,100000000,121100000,1997.0,1.85,129.0,2031,105000000.0,7.2,22058773.0,2971.0
323,49438370,100000000,69548641,2009.0,1.85,102.0,10552,100000000.0,5.4,18837350.0,3521.0
325,40202379,100000000,82145379,2004.0,2.35,87.0,3144,100000000.0,3.3,16728411.0,3117.0
326,39322544,100000000,209461378,2014.0,2.35,131.0,52610,90000000.0,6.1,15879645.0,3221.0
327,38120554,100000000,91800000,2002.0,1.5,95.0,26940,140000000.0,7.1,12083248.0,3227.0
328,35497337,100000000,97523020,2010.0,2.35,115.0,13761,100000000.0,6.9,14309295.0,3003.0
331,23022309,100000000,103039258,2014.0,2.35,119.0,54031,100000000.0,6.3,10886386.0,3455.0
332,17018422,100000000,59918422,2005.0,1.85,94.0,1195,84000000.0,2.2,7511675.0,2966.0
333,10162034,100000000,13835130,1997.0,1.85,110.0,1722,10000000.0,7.3,124011.0,7.0
334,4411102,100000000,7094995,2002.0,1.85,95.0,6161,100000000.0,3.8,2182900.0,2320.0
336,130178411,99000000,244778411,2015.0,1.85,88.0,309,99000000.0,7.2,44213073.0,3897.0
337,202007640,98000000,435040395,2001.0,2.35,130.0,15972,98000000.0,6.3,68139035.0,3401.0
338,77730500,97000000,183124621,2002.0,2.35,216.0,47657,100000000.0,7.5,9496870.0,1504.0
341,161321843,95000000,879765137,2012.0,2.35,88.0,25354,95000000.0,6.6,46629259.0,3881.0
342,108638745,95000000,159691085,2001.0,2.35,152.0,4270,92000000.0,7.7,193021.0,4.0
344,88768303,95000000,223050874,2010.0,2.35,118.0,14024,95000000.0,5.9,38661634.0,3356.0
346,81562942,95000000,169511609,2010.0,2.35,98.0,25780,100000000.0,6.8,22688457.0,3207.0
